commonName,scienName,shortDesc,longDesc,poisHuman,poisAnimal,poisNotes,genCare,food,water,minTemp,img,sunlight
Split-Leaf Monstera,Monstera deliciosa,Monstera deliciosa -- commonly known as Split leaf philodendron is a popular house plant that is actually not in the philodendron family.,"Monstera deliciosa -- commonly known as Split leaf philodendron is a popular house plant that is actually not in the philodendron family. Characterized by large, glossy, heart-shaped leaves that split from the edge of the leaf to the center vein.",1,1,The only part of the plant that is not poisonous is the fruit that it produces.,"Water drops on the leaves is an indication of over-watering while browinging leaf edges indicate underwatering. Grow better with high humidity, but have the ability to adapt to household humidity. Flowering is uncommon when grown as a houseplant.

Propogation: Use stem cuttings. To prevent root rot, allow cuttings to sit out before propogating. Include both leaves and plant nodes.

Repotting: Repot annually to encourage growth. Larger pots encourage larger leaves.",During active growth: feed every two weeks.,Medium - Water well and let drain. Keep soil damp. Allow top 25% of the soil to dry out before watering again.,50F (10C),https://upload.wikimedia.org/wikipedia/commons/2/2e/Monstera_deliciosa2.jpg,Medium to Bright. Keep out of direct sun.
Schefflera,Schefflera arboricola,"Schefflera, known as an umbrella plant, is an easy to grow houseplant that is tolerant of a range of growth conditions.","Schefflera, known as an umbrella plant, is an easy to grow houseplant that is tolerant of a range of growth conditions. The Schefflera is able to be grown in many rooms throughout the home as it can tolerate medium light.",1,1,,Pruning regularly can result in growing a bushier version of the schefflera.,Fertilization: 1-2 times per year. For faster growth: general-purpose houseplant fertilizer -- follow packaging for application rates.,Medium - Tolerant of dry soil. Water when top 1-2 inches of soil have dried out.,35F (1.6C),https://upload.wikimedia.org/wikipedia/commons/8/82/Schefflera_arboricola%2C_vrugte%2C_a%2C_Pretoria.jpg,Medium to Bright light.
Corn Plant,Dracaena fragrans 'Massangeana',"Dracaena fragrans, better known as a corn plant, is known to be a very easy plant to grow.","Dracaena fragrans, better known as a corn plant, is known to be a very easy plant to grow. As a front-runner for most beginner plant parents, this plant can withstand both high and low light situations making it easy to place most places in your home.",1,1,Moderate,Slow growth rate. Average height at maturity: 17 ft.,Medium - use any houseplant fertilizer. Follow package instructions.,"Medium - let the top 1-2 inches of soil dry between waterings. During spring and summer, watering may need to be more frequent.",40F (4.445C),https://cdn.shopify.com/s/files/1/1706/1307/products/Dracaena-fragrans-Massangeana-Multi-Stem.jpg?v=1544879538,Tolerant to shade.
Variegated Inch Plant,Tradescantia zebrina,The Inch Plant is an easy to grow house plant with trailing stems.,"The Inch Plant is an easy to grow house plant with trailing stems. The inch plant will grow across the table if planted in a pot, or hang around if planted in a hanging basket.",1,1,,"Can withstand small amounts of direct sunlight if you choose to place in a sunny window. While it is tolerant of low light for small amounts of time, it will not be able to last in low light.","Not necessary. If you wish, you can fertilize as little as 1-2 times per year, particularly in the spring and summer. ",Thrive in moist soil. Water when potting mix begins to dry out.,50F (10C),https://www.ourhouseplants.com/imgs-content/wandering_jew_plant.jpg,Medium to Bright light. Can withstand small timeframes in low-light.
Majesty Palm,Ravenea rivularis,Majesty Palms are a slow growing house plant that have the ability to fill empty corners of your home.,Majesty Palms are a slow growing house plant that have the ability to fill empty corners of your home. Their lovely foliage is also able to be grown outdoors in shady areas to add additonal texture to your outdoor living space.,1,1,,"Typically, Majest Palms grown as house plants are typically grown in low-light conditions to ensure that they live as house plants. Because of this, while they can be placed outside, you should not place your Majesty Palm in hot, sunny environments.",Use a general houseplant fertilizer regularly for faster growth or 2-4 times per year for a slower growth. Be sure to follow the packages directions.,"Medium - soil should stay evenly moist, but make sure that the soil is not wet or satureated with water. Majesty Palms also perfer more humid environments.",35F (1.6C),https://upload.wikimedia.org/wikipedia/commons/5/5b/Ravenearivularis.jpg,"Medium to Bright. Can withstand low-light situations for extended periods of time, but does not thrive as a permanent situation."
Elephant Ear,colocasia esculenta,Elephant Ear leave live up to their name by growing massive leaves.,Elephant Ear leave live up to their name by growing massive leaves. These plants grow in a variety of colors - so finding one that fits you and your home won't be difficult.,1,1,,Can be grown in rain gardens,"General purpose, slow release fertilizer in the spring","Moist, well-drained soil",45F (7.2C),https://images.homedepot-static.com/productImages/a6764b94-4af9-4e00-902b-69f03a8014aa/svn/garden-state-bulb-flower-bulbs-hos19-06-64_1000.jpg,Bright in-direct light or partial shade when grown as a houseplant.
Jelly Bean Plant,Sedum robrotinctum,The Jelly Bean Sedum is bubbly-looking plant with red-tipped green leaves.,The Jelly Bean Sedum is bubbly-looking plant with red-tipped green leaves. This plant grows upward until the weight up the plants growth tends to cause it to lean over.,1,1,,"Jelly Bean Sedums are a great plant for plant parent beginners as it does best with less attention. Propogration for Jelly Bean Sedums is quite easy, as all it requires, in most cases, is for the them to be buried. To make sure rooting takes place and root rot does not occur, be sure to avoid watering 1-2 weeks after propogation.",Fertilize in the spring and summer once a month with a cactus and succulent fertilizer.,Allow an extended dry period between waterings.,35F (1.6C),https://www.easternleaf.com/v/vspfiles/photos/806570-03-2.jpg,"Plant someplace where a few hours of the sun can reach the plant. In the hottest climates, this succulent needs some shade in summer. Jelly bean sedums turn green all over when not enough light reaches them."
String of Pearls,Senencio rowleyanus,"The String of Pearls, also known as String of Beads, grows in long vines that can be beautifully displaying in a hanging pot.","The String of Pearls, also known as String of Beads, grows in long vines that can be beautifully displaying in a hanging pot. This vine does not take a lot of care, just make sure to not over-water it and it will be happy in most homes.",1,1,,"This succulent takes little mainenance to keep it thriving. To propogate, cut a 3-4 inch section and remove a few of the top pearls. Make sure that at least 3-4 leaf nodes are down into soil.",Fertilize every 2-4 weeks in spring and summer and withhold from any fertilizer during the fall and winter months.,"Water thoroughly once per month - never allow the String of Pearls to stand in water. During the winter, water sparingly -- just enough to dampen the soil.",50F (10C),https://cdn.shopify.com/s/files/1/1752/4567/products/string_of_pearls.png?v=1522299713,Make sure the light is nice & bright but not direct & burning. This plant thrives in indirect light.
Balloon Cactus,Parodia mafnifica,The Balloon Cactus is a globular cactus that grows in clusters.,The Balloon Cactus is a globular cactus that grows in clusters. It is characterized by it's bluish-green color with yellow spines that grow up each spine. This cactus can bloom bright yellow flowers in summer and early fall. May grow as tall as 12 inches tall with time.,1,1,,Make sure to pot the Balloon Cactus in porous soil and in a pot that is well draining. This plant does not do well with standing water.,Fertilize during growing season with a 10-10-10 fertilizer diluted to 1/4 strength each watering.,Water thoroughly once soil feels dry. ,45F (7.2C),http://cdn.shopify.com/s/files/1/0284/2450/products/Notocactus_magnificus-1_600x.jpg?v=1507917159,"The best place for most cactus houseplants is a warm, bright spot. These sun-lovers do best when they get lots of direct light."
Blue Barrel Cactus,Ferocactus glaucescens,The Blue Barrel Cactus is a globular shaped cactus with a greenish-blue color that can grow up to two feet tall and wide,"The Blue Barrel Cactus is a globular shaped cactus with a greenish-blue color that can grow up to two feet tall and wide. This cactus can grow yellow funnel-shaped flowers that may bloom spring through late summer. With time, may grow 24 incles tall and wide.",1,1,,This cactus does well to be grown outdoors in desertous areas. Blue Barrel Cacti are easily propagated by seeds.,Fertilize during growing season with a 10-10-10 fertilizer diluted to 1/4 strength each watering.,"Drought-resistent. However, this cactus will thrive with additional watering during the summer.",45F (7.2C),https://cdn.shopify.com/s/files/1/2203/9263/products/ea29b77861a0c0dec6320de4af22e02a.jpg?v=1534433009,"The best place for most cactus houseplants is a warm, bright spot. These sun-lovers do best when they get lots of direct light."
